y	x	PANEL	group
1	118185.131	2	-1
0	118185.179	2	-1
0	118185.227	2	-1
0	118185.274	2	-1
0	118185.322	2	-1
1	118185.369	2	-1
1	118185.417	2	-1
1	118185.465	2	-1
2	118185.512	2	-1
2	118185.56	2	-1
1	118185.608	2	-1
0	118185.655	2	-1
0	118185.703	2	-1
0	118185.751	2	-1
1	118185.798	2	-1
1	118185.846	2	-1
1	118185.894	2	-1
1	118185.941	2	-1
2	118185.989	2	-1
1	118186.037	2	-1
0	118186.084	2	-1
0	118186.132	2	-1
0	118186.18	2	-1
0	118186.227	2	-1
1	118186.275	2	-1
1	118186.322	2	-1
2	118186.37	2	-1
2	118186.418	2	-1
3	118186.465	2	-1
3	118186.513	2	-1
2	118186.561	2	-1
2	118186.608	2	-1
1	118186.656	2	-1
0	118186.704	2	-1
0	118186.751	2	-1
0	118186.799	2	-1
1	118186.847	2	-1
1	118186.894	2	-1
3	118186.942	2	-1
6	118186.99	2	-1
7	118187.037	2	-1
8	118187.085	2	-1
7	118187.133	2	-1
8	118187.18	2	-1
19	118187.228	2	-1
18	118187.275	2	-1
5	118187.323	2	-1
5	118187.371	2	-1
4	118187.418	2	-1
0	118187.466	2	-1
3	118187.514	2	-1
3	118187.561	2	-1
6	118187.609	2	-1
8	118187.657	2	-1
5	118187.704	2	-1
6	118187.752	2	-1
7	118187.8	2	-1
9	118187.847	2	-1
5	118187.895	2	-1
2	118187.943	2	-1
5	118187.99	2	-1
5	118188.038	2	-1
4	118188.085	2	-1
7	118188.133	2	-1
11	118188.181	2	-1
5	118188.228	2	-1
2	118188.276	2	-1
2	118188.324	2	-1
0	118188.371	2	-1
1	118188.419	2	-1
1	118188.467	2	-1
1	118188.514	2	-1
1	118188.562	2	-1
0	118188.61	2	-1
2	118188.657	2	-1
2	118188.705	2	-1
0	118188.753	2	-1
4	118188.8	2	-1
3	118188.848	2	-1
2	118188.896	2	-1
3	118188.943	2	-1
3	118188.991	2	-1
1	118189.038	2	-1
1	118189.086	2	-1
1	118189.134	2	-1
0	118189.181	2	-1
2	118189.229	2	-1
4	118189.277	2	-1
4	118189.324	2	-1
4	118189.372	2	-1
3	118189.42	2	-1
3	118189.467	2	-1
2	118189.515	2	-1
2	118189.563	2	-1
1	118189.61	2	-1
0	118189.658	2	-1
0	118189.706	2	-1
0	118189.753	2	-1
3	118189.801	2	-1
2	118189.849	2	-1
2	118189.896	2	-1
0	118189.944	2	-1
0	118189.991	2	-1
0	118190.039	2	-1
0	118190.087	2	-1
0	118190.134	2	-1
0	118190.182	2	-1
0	118190.23	2	-1
0	118190.277	2	-1
0	118190.325	2	-1
0	118190.373	2	-1
1	118190.42	2	-1
1	118190.468	2	-1
2	118190.516	2	-1
1	118190.563	2	-1
0	118190.611	2	-1
1	118190.659	2	-1
2	118190.706	2	-1
1	118190.754	2	-1
0	118190.802	2	-1
0	118190.849	2	-1
0	118190.897	2	-1
0	118190.944	2	-1
0	118190.992	2	-1
0	118191.04	2	-1
0	118191.087	2	-1
1	118191.135	2	-1
1	118191.183	2	-1
1	118191.23	2	-1
7	118191.278	2	-1
6	118191.326	2	-1
4	118191.373	2	-1
2	118191.421	2	-1
1	118191.469	2	-1
2	118191.516	2	-1
1	118191.564	2	-1
1	118191.612	2	-1
1	118191.659	2	-1
1	118191.707	2	-1
2	118191.755	2	-1
2	118191.802	2	-1
0	118191.85	2	-1
1	118191.897	2	-1
1	118191.945	2	-1
0	118191.993	2	-1
0	118192.04	2	-1
0	118192.088	2	-1
0	118192.136	2	-1
2	118192.183	2	-1
3	118192.231	2	-1
4	118192.279	2	-1
2	118192.326	2	-1
4	118192.374	2	-1
5	118192.422	2	-1
3	118192.469	2	-1
5	118192.517	2	-1
15	118192.565	2	-1
14	118192.612	2	-1
4	118192.66	2	-1
7	118192.708	2	-1
5	118192.755	2	-1
8	118192.803	2	-1
6	118192.85	2	-1
4	118192.898	2	-1
2	118192.946	2	-1
2	118192.993	2	-1
2	118193.041	2	-1
2	118193.089	2	-1
0	118193.136	2	-1
0	118193.184	2	-1
0	118193.232	2	-1
0	118193.279	2	-1
0	118193.327	2	-1
0	118193.375	2	-1
0	118193.422	2	-1
0	118193.47	2	-1
2	118193.518	2	-1
2	118193.565	2	-1
0	118193.613	2	-1
0	118193.661	2	-1
0	118193.708	2	-1
0	118193.756	2	-1
0	118193.803	2	-1
0	118193.851	2	-1
0	118193.899	2	-1
1	118193.946	2	-1
1	118193.994	2	-1
1	118194.042	2	-1
2	118194.089	2	-1
1	118194.137	2	-1
2	118194.185	2	-1
3	118194.232	2	-1
3	118194.28	2	-1
7	118194.328	2	-1
7	118194.375	2	-1
3	118194.423	2	-1
0	118194.471	2	-1
0	118194.518	2	-1
1	118194.566	2	-1
3	118194.614	2	-1
1	118194.661	2	-1
1	118194.709	2	-1
0	118194.756	2	-1
1	118194.804	2	-1
1	118194.852	2	-1
1	118194.899	2	-1
1	118194.947	2	-1
0	118194.995	2	-1
0	118195.042	2	-1
0	118195.09	2	-1
0	118195.138	2	-1
0	118195.185	2	-1
0	118195.233	2	-1
3	118195.281	2	-1
6	118195.328	2	-1
4	118195.376	2	-1
2	118195.424	2	-1
1	118195.471	2	-1
1	118195.519	2	-1
1	118195.567	2	-1
1	118195.614	2	-1
0	118195.662	2	-1
0	118195.709	2	-1
0	118195.757	2	-1
0	118195.805	2	-1
0	118195.852	2	-1
0	118195.9	2	-1
0	118195.948	2	-1
0	118195.995	2	-1
0	118196.043	2	-1
2	118196.091	2	-1
12	118196.138	2	-1
20	118196.186	2	-1
10	118196.234	2	-1
0	118196.281	2	-1
0	118196.329	2	-1
0	118196.377	2	-1
0	118196.424	2	-1
0	118196.472	2	-1
0	118196.52	2	-1
0	118196.567	2	-1
0	118196.615	2	-1
0	118196.662	2	-1
0	118196.71	2	-1
1	118196.758	2	-1
1	118196.805	2	-1
2	118196.853	2	-1
1	118196.901	2	-1
0	118196.948	2	-1
0	118196.996	2	-1
1	118197.044	2	-1
1	118197.091	2	-1
0	118197.139	2	-1
1	118197.187	2	-1
2	118197.234	2	-1
3	118197.282	2	-1
2	118197.33	2	-1
1	118197.377	2	-1
1	118197.425	2	-1
0	118197.473	2	-1
1	118197.52	2	-1
0	118197.568	2	-1
0	118197.615	2	-1
0	118197.663	2	-1
0	118197.711	2	-1
0	118197.758	2	-1
0	118197.806	2	-1
0	118197.854	2	-1
0	118197.901	2	-1
0	118197.949	2	-1
6	118197.997	2	-1
11	118198.044	2	-1
8	118198.092	2	-1
3	118198.14	2	-1
1	118198.187	2	-1
7	118198.235	2	-1
21	118198.283	2	-1
15	118198.33	2	-1
1	118198.378	2	-1
1	118198.425	2	-1
8	118198.473	2	-1
13	118198.521	2	-1
6	118198.568	2	-1
3	118198.616	2	-1
7	118198.664	2	-1
8	118198.711	2	-1
10	118198.759	2	-1
9	118198.807	2	-1
5	118198.854	2	-1
2	118198.902	2	-1
4	118198.95	2	-1
3	118198.997	2	-1
0	118199.045	2	-1
5	118199.093	2	-1
6	118199.14	2	-1
8	118199.188	2	-1
6	118199.236	2	-1
11	118199.283	2	-1
13	118199.331	2	-1
10	118199.378	2	-1
10	118199.426	2	-1
3	118199.474	2	-1
5	118199.521	2	-1
13	118199.569	2	-1
14	118199.617	2	-1
15	118199.664	2	-1
10	118199.712	2	-1
5	118199.76	2	-1
6	118199.807	2	-1
6	118199.855	2	-1
2	118199.903	2	-1
2	118199.95	2	-1
6	118199.998	2	-1
5	118200.046	2	-1
5	118200.093	2	-1
6	118200.141	2	-1
1	118200.189	2	-1
0	118200.236	2	-1
1	118200.284	2	-1
1	118200.331	2	-1
0	118200.379	2	-1
0	118200.427	2	-1
0	118200.474	2	-1
2	118200.522	2	-1
2	118200.57	2	-1
1	118200.617	2	-1
1	118200.665	2	-1
0	118200.713	2	-1
0	118200.76	2	-1
0	118200.808	2	-1
4	118200.856	2	-1
4	118200.903	2	-1
4	118200.951	2	-1
0	118200.999	2	-1
3	118201.046	2	-1
5	118201.094	2	-1
2	118201.142	2	-1
0	118201.189	2	-1
1	118201.237	2	-1
1	118201.284	2	-1
1	118201.332	2	-1
1	118201.38	2	-1
0	118201.427	2	-1
0	118201.475	2	-1
0	118201.523	2	-1
0	118201.57	2	-1
0	118201.618	2	-1
0	118201.666	2	-1
0	118201.713	2	-1
0	118201.761	2	-1
0	118201.809	2	-1
0	118201.856	2	-1
0	118201.904	2	-1
0	118201.952	2	-1
0	118201.999	2	-1
0	118202.047	2	-1
0	118202.095	2	-1
0	118202.142	2	-1
0	118202.19	2	-1
0	118202.237	2	-1
0	118202.285	2	-1
0	118202.333	2	-1
0	118202.38	2	-1
0	118202.428	2	-1
0	118202.476	2	-1
0	118202.523	2	-1
0	118202.571	2	-1
0	118202.619	2	-1
0	118202.666	2	-1
0	118202.714	2	-1
0	118202.762	2	-1
0	118202.809	2	-1
0	118202.857	2	-1
0	118202.905	2	-1
0	118202.952	2	-1
0	118203	2	-1
0	118203.048	2	-1
0	118203.095	2	-1
0	118203.143	2	-1
0	118203.19	2	-1
0	118203.238	2	-1
1	118203.286	2	-1
2	118203.333	2	-1
3	118203.381	2	-1
2	118203.429	2	-1
0	118203.476	2	-1
0	118203.524	2	-1
0	118203.572	2	-1
0	118203.619	2	-1
0	118203.667	2	-1
0	118203.715	2	-1
0	118203.762	2	-1
0	118203.81	2	-1
0	118203.858	2	-1
1	118203.905	2	-1
5	118203.953	2	-1
22	118204.001	2	-1
27	118204.048	2	-1
15	118204.096	2	-1
6	118204.143	2	-1
6	118204.191	2	-1
9	118204.239	2	-1
4	118204.286	2	-1
4	118204.334	2	-1
6	118204.382	2	-1
7	118204.429	2	-1
8	118204.477	2	-1
9	118204.525	2	-1
4	118204.572	2	-1
2	118204.62	2	-1
5	118204.668	2	-1
5	118204.715	2	-1
5	118204.763	2	-1
7	118204.811	2	-1
1	118204.858	2	-1
3	118204.906	2	-1
2	118204.954	2	-1
0	118205.001	2	-1
0	118205.049	2	-1
1	118205.096	2	-1
2	118205.144	2	-1
2	118205.192	2	-1
1	118205.239	2	-1
4	118205.287	2	-1
7	118205.335	2	-1
4	118205.382	2	-1
1	118205.43	2	-1
0	118205.478	2	-1
1	118205.525	2	-1
5	118205.573	2	-1
6	118205.621	2	-1
4	118205.668	2	-1
3	118205.716	2	-1
2	118205.764	2	-1
2	118205.811	2	-1
1	118205.859	2	-1
2	118205.907	2	-1
3	118205.954	2	-1
3	118206.002	2	-1
3	118206.049	2	-1
6	118206.097	2	-1
6	118206.145	2	-1
5	118206.192	2	-1
6	118206.24	2	-1
6	118206.288	2	-1
5	118206.335	2	-1
4	118206.383	2	-1
0	118206.431	2	-1
0	118206.478	2	-1
0	118206.526	2	-1
0	118206.574	2	-1
0	118206.621	2	-1
0	118206.669	2	-1
0	118206.717	2	-1
0	118206.764	2	-1
0	118206.812	2	-1
0	118206.86	2	-1
0	118206.907	2	-1
0	118206.955	2	-1
0	118207.002	2	-1
0	118207.05	2	-1
0	118207.098	2	-1
0	118207.145	2	-1
0	118207.193	2	-1
1	118207.241	2	-1
1	118207.288	2	-1
1	118207.336	2	-1
1	118207.384	2	-1
0	118207.431	2	-1
0	118207.479	2	-1
0	118207.527	2	-1
1	118207.574	2	-1
3	118207.622	2	-1
3	118207.67	2	-1
1	118207.717	2	-1
0	118207.765	2	-1
1	118207.813	2	-1
1	118207.86	2	-1
0	118207.908	2	-1
0	118207.955	2	-1
0	118208.003	2	-1
0	118208.051	2	-1
1	118208.098	2	-1
1	118208.146	2	-1
1	118208.194	2	-1
0	118208.241	2	-1
0	118208.289	2	-1
4	118208.337	2	-1
5	118208.384	2	-1
1	118208.432	2	-1
1	118208.48	2	-1
1	118208.527	2	-1
0	118208.575	2	-1
2	118208.623	2	-1
1	118208.67	2	-1
1	118208.718	2	-1
1	118208.765	2	-1
1	118208.813	2	-1
1	118208.861	2	-1
0	118208.908	2	-1
1	118208.956	2	-1
3	118209.004	2	-1
3	118209.051	2	-1
2	118209.099	2	-1
3	118209.147	2	-1
4	118209.194	2	-1
2	118209.242	2	-1
1	118209.29	2	-1
0	118209.337	2	-1
0	118209.385	2	-1
0	118209.433	2	-1
0	118209.48	2	-1
0	118209.528	2	-1
0	118209.576	2	-1
1	118209.623	2	-1
1	118209.671	2	-1
2	118209.718	2	-1
2	118209.766	2	-1
1	118209.814	2	-1
1	118209.861	2	-1
1	118209.909	2	-1
3	118209.957	2	-1
2	118210.004	2	-1
2	118210.052	2	-1
1	118210.1	2	-1
1	118210.147	2	-1
2	118210.195	2	-1
2	118210.243	2	-1
2	118210.29	2	-1
2	118210.338	2	-1
0	118210.386	2	-1
0	118210.433	2	-1
0	118210.481	2	-1
0	118210.529	2	-1
0	118210.576	2	-1
0	118210.624	2	-1
0	118210.671	2	-1
3	118210.719	2	-1
8	118210.767	2	-1
5	118210.814	2	-1
2	118210.862	2	-1
2	118210.91	2	-1
0	118210.957	2	-1
0	118211.005	2	-1
0	118211.053	2	-1
0	118211.1	2	-1
0	118211.148	2	-1
0	118211.196	2	-1
0	118211.243	2	-1
0	118211.291	2	-1
0	118211.339	2	-1
0	118211.386	2	-1
0	118211.434	2	-1
0	118211.482	2	-1
0	118211.529	2	-1
0	118211.577	2	-1
0	118211.624	2	-1
0	118211.672	2	-1
0	118211.72	2	-1
2	118211.767	2	-1
4	118211.815	2	-1
2	118211.863	2	-1
0	118211.91	2	-1
0	118211.958	2	-1
1	118212.006	2	-1
2	118212.053	2	-1
1	118212.101	2	-1
1	118212.149	2	-1
2	118212.196	2	-1
2	118212.244	2	-1
2	118212.292	2	-1
2	118212.339	2	-1
1	118212.387	2	-1
3	118212.435	2	-1
2	118212.482	2	-1
0	118212.53	2	-1
0	118212.577	2	-1
0	118212.625	2	-1
0	118212.673	2	-1
0	118212.72	2	-1
0	118212.768	2	-1
0	118212.816	2	-1
0	118212.863	2	-1
0	118212.911	2	-1
0	118212.959	2	-1
0	118213.006	2	-1
0	118213.054	2	-1
0	118213.102	2	-1
0	118213.149	2	-1
1	118213.197	2	-1
1	118213.245	2	-1
2	118213.292	2	-1
5	118213.34	2	-1
3	118213.388	2	-1
1	118213.435	2	-1
1	118213.483	2	-1
1	118213.53	2	-1
1	118213.578	2	-1
0	118213.626	2	-1
0	118213.673	2	-1
1	118213.721	2	-1
2	118213.769	2	-1
2	118213.816	2	-1
4	118213.864	2	-1
3	118213.912	2	-1
1	118213.959	2	-1
1	118214.007	2	-1
3	118214.055	2	-1
4	118214.102	2	-1
2	118214.15	2	-1
0	118214.198	2	-1
0	118214.245	2	-1
1	118214.293	2	-1
2	118214.341	2	-1
1	118214.388	2	-1
0	118214.436	2	-1
2	118214.483	2	-1
2	118214.531	2	-1
2	118214.579	2	-1
2	118214.626	2	-1
1	118214.674	2	-1
0	118214.722	2	-1
1	118214.769	2	-1
2	118214.817	2	-1
1	118214.865	2	-1
0	118214.912	2	-1
0	118214.96	2	-1
0	118215.008	2	-1
0	118215.055	2	-1
0	118215.103	2	-1
1	118215.151	2	-1
8	118215.198	2	-1
7	118215.246	2	-1
6	118215.294	2	-1
4	118215.341	2	-1
3	118215.389	2	-1
2	118215.436	2	-1
0	118215.484	2	-1
1	118215.532	2	-1
1	118215.579	2	-1
1	118215.627	2	-1
1	118215.675	2	-1
3	118215.722	2	-1
7	118215.77	2	-1
4	118215.818	2	-1
1	118215.865	2	-1
4	118215.913	2	-1
3	118215.961	2	-1
4	118216.008	2	-1
4	118216.056	2	-1
2	118216.104	2	-1
2	118216.151	2	-1
2	118216.199	2	-1
1	118216.247	2	-1
1	118216.294	2	-1
0	118216.342	2	-1
6	118216.389	2	-1
12	118216.437	2	-1
12	118216.485	2	-1
1	118216.532	2	-1
8	118216.58	2	-1
9	118216.628	2	-1
3	118216.675	2	-1
3	118216.723	2	-1
5	118216.771	2	-1
9	118216.818	2	-1
8	118216.866	2	-1
1	118216.914	2	-1
1	118216.961	2	-1
1	118217.009	2	-1
1	118217.057	2	-1
1	118217.104	2	-1
3	118217.152	2	-1
3	118217.2	2	-1
5	118217.247	2	-1
6	118217.295	2	-1
3	118217.342	2	-1
2	118217.39	2	-1
5	118217.438	2	-1
5	118217.485	2	-1
6	118217.533	2	-1
10	118217.581	2	-1
11	118217.628	2	-1
4	118217.676	2	-1
20	118217.724	2	-1
19	118217.771	2	-1
2	118217.819	2	-1
1	118217.867	2	-1
0	118217.914	2	-1
0	118217.962	2	-1
2	118218.01	2	-1
2	118218.057	2	-1
2	118218.105	2	-1
2	118218.153	2	-1
2	118218.2	2	-1
10	118218.248	2	-1
11	118218.295	2	-1
7	118218.343	2	-1
5	118218.391	2	-1
3	118218.438	2	-1
1	118218.486	2	-1
1	118218.534	2	-1
0	118218.581	2	-1
0	118218.629	2	-1
2	118218.677	2	-1
2	118218.724	2	-1
2	118218.772	2	-1
4	118218.82	2	-1
2	118218.867	2	-1
0	118218.915	2	-1
0	118218.963	2	-1
1	118219.01	2	-1
1	118219.058	2	-1
3	118219.105	2	-1
2	118219.153	2	-1
2	118219.201	2	-1
2	118219.248	2	-1
1	118219.296	2	-1
0	118219.344	2	-1
1	118219.391	2	-1
1	118219.439	2	-1
1	118219.487	2	-1
2	118219.534	2	-1
3	118219.582	2	-1
2	118219.63	2	-1
2	118219.677	2	-1
3	118219.725	2	-1
4	118219.773	2	-1
5	118219.82	2	-1
4	118219.868	2	-1
3	118219.916	2	-1
4	118219.963	2	-1
4	118220.011	2	-1
0	118220.058	2	-1
0	118220.106	2	-1
0	118220.154	2	-1
0	118220.201	2	-1
0	118220.249	2	-1
1	118220.297	2	-1
2	118220.344	2	-1
3	118220.392	2	-1
3	118220.44	2	-1
5	118220.487	2	-1
7	118220.535	2	-1
5	118220.583	2	-1
2	118220.63	2	-1
0	118220.678	2	-1
0	118220.726	2	-1
0	118220.773	2	-1
0	118220.821	2	-1
0	118220.869	2	-1
0	118220.916	2	-1
1	118220.964	2	-1
1	118221.011	2	-1
3	118221.059	2	-1
3	118221.107	2	-1
2	118221.154	2	-1
2	118221.202	2	-1
1	118221.25	2	-1
0	118221.297	2	-1
0	118221.345	2	-1
0	118221.393	2	-1
0	118221.44	2	-1
0	118221.488	2	-1
0	118221.536	2	-1
0	118221.583	2	-1
0	118221.631	2	-1
0	118221.679	2	-1
0	118221.726	2	-1
0	118221.774	2	-1
0	118221.822	2	-1
0	118221.869	2	-1
0	118221.917	2	-1
0	118221.964	2	-1
0	118222.012	2	-1
0	118222.06	2	-1
0	118222.107	2	-1
3	118222.155	2	-1
3	118222.203	2	-1
5	118222.25	2	-1
4	118222.298	2	-1
1	118222.346	2	-1
1	118222.393	2	-1
0	118222.441	2	-1
0	118222.489	2	-1
0	118222.536	2	-1
0	118222.584	2	-1
0	118222.632	2	-1
0	118222.679	2	-1
0	118222.727	2	-1
0	118222.775	2	-1
0	118222.822	2	-1
0	118222.87	2	-1
