y	yend	x	xend	clickSelects	showSelected1	showSelected2	PANEL
0.05	0.05	118234.744	118236.171	chr11:118233706-118239904	chr11:118233706-118239904	6516	4
0.05	0.05	118187.023	118188.203	chr11:118184272-118189408	chr11:118184272-118189408	9216	4
0.05	0.05	118191.017	118191.683	chr11:118189409-118195097	chr11:118189409-118195097	9216	4
0.05	0.05	118205.172	118206.036	chr11:118202121-118208370	chr11:118202121-118208370	9216	4
0.05	0.05	118234.744	118236.171	chr11:118233712-118241262	chr11:118233712-118241262	9216	4
0.05	0.05	118187.023	118188.192	chr11:118184246-118190326	chr11:118184246-118190326	13033	4
0.05	0.05	118205.157	118206.043	chr11:118202707-118207605	chr11:118202707-118207605	13033	4
0.05	0.05	118238.695	118240.2	chr11:118234052-118243502	chr11:118234052-118243502	13033	4
0.05	0.05	118187.023	118188.203	chr11:118184379-118196409	chr11:118184379-118196409	18432	4
0.05	0.05	118205.157	118206.036	chr11:118196410-118208099	chr11:118196410-118208099	18432	4
0.05	0.05	118183.853	118183.952	chr11:118183688-118184421	chr11:118183688-118184421	1629	5
0.05	0.05	118186.422	118186.602	chr11:118185740-118186797	chr11:118185740-118186797	1629	5
0.05	0.05	118194.118	118194.753	chr11:118193583-118195135	chr11:118193583-118195135	1629	5
0.05	0.05	118198.322	118198.805	chr11:118197630-118199059	chr11:118197630-118199059	1629	5
0.05	0.05	118206.323	118206.344	chr11:118206013-118206943	chr11:118206013-118206943	1629	5
0.05	0.05	118182.558	118183.144	chr11:118182035-118183425	chr11:118182035-118183425	2304	5
0.05	0.05	118183.853	118183.956	chr11:118183426-118185207	chr11:118183426-118185207	2304	5
0.05	0.05	118186.131	118186.672	chr11:118185393-118186834	chr11:118185393-118186834	2304	5
0.05	0.05	118194.118	118194.753	chr11:118193672-118195893	chr11:118193672-118195893	2304	5
0.05	0.05	118203.359	118203.397	chr11:118202212-118203695	chr11:118202212-118203695	2304	5
0.05	0.05	118206.323	118206.344	chr11:118206055-118206943	chr11:118206055-118206943	2304	5
0.05	0.05	118182.561	118183.144	chr11:118181821-118183691	chr11:118181821-118183691	3258	5
0.05	0.05	118183.853	118183.952	chr11:118183692-118184718	chr11:118183692-118184718	3258	5
0.05	0.05	118186.131	118186.23	chr11:118184719-118186458	chr11:118184719-118186458	3258	5
0.05	0.05	118194.118	118194.753	chr11:118193493-118195694	chr11:118193493-118195694	3258	5
0.05	0.05	118182.53	118184.404	chr11:118182039-118185519	chr11:118182039-118185519	4608	5
0.05	0.05	118186.422	118188.475	chr11:118182713-118200648	chr11:118182713-118200648	26066	5
